room_id,host_id,total_score
11757251,26873897,2.134
12246137,30283594,3.0
10445235,35019081,3.0
9132081,47565180,3.0
9906565,6807512,3.0
5690640,29503737,3.0
12620315,33370301,3.0
12581207,35777842,3.0
11885148,409027,3.0
12774639,4161865,3.0
9504177,20934696,3.0
7971930,1848513,3.0
10611598,41328752,3.0
12264926,34078385,3.0
9631816,11082983,3.0
4523594,9419684,3.0
5270703,27281334,3.0
12205324,65632036,3.0
7475573,22348222,3.0
11521541,14133713,3.0
5628808,28759412,3.0
12372052,21745230,3.0
10116095,1229092,3.0
11395461,59792146,3.0
5719606,3432624,3.0
10022766,105154,3.0
7920759,41766550,3.0
13091712,54995023,3.0
7009774,36747522,3.0
13032590,21745230,3.0
12209652,65660258,3.0
9922595,30283594,3.0
8914895,36981635,3.0
11980760,30283594,3.0
10262069,30283594,3.0
12825412,69976103,3.0
10034284,30283594,3.0
12302222,30283594,3.0
11981674,30283594,3.0
6016150,30283594,3.0
5932402,2221632,3.0
12210223,45615983,3.0
8389735,41456680,3.0
11988537,64082142,3.0
12734288,46589576,3.0
10829447,49493438,3.0
11896394,13263766,3.0
8607856,31545543,3.0
9774847,50161296,3.0
12532440,16620216,3.0
9593141,49651994,3.0
824244,4335656,3.0
13028097,33694027,3.0
12628940,68572323,3.0
9508975,21737209,3.0
7514024,22348222,3.0
11343048,41921566,3.0
9110708,32018716,3.0
7855702,30283594,3.0
4467841,9419684,3.0
7713815,22348222,3.0
8904297,46575567,3.0
7928656,41383849,3.0
11885879,20932695,3.0
10052037,30283594,3.0
10118716,30283594,3.0
10152056,30283594,3.0
12400995,55708104,3.0
6298216,32750893,3.0
5814459,5949009,3.0
10148425,6562905,3.0
10118573,30283594,3.0
9133627,22348222,3.0
23668,25188,3.0
10051649,30283594,3.0
4602191,20079643,3.0
12541136,15588404,3.0
12226965,7059074,3.0
7475052,22348222,3.0
13015679,47054791,3.0
9252183,22348222,3.0
12997334,24584254,3.0
8168982,30283594,3.0
12868351,45091583,3.0
9386847,27446821,3.0
7514336,22348222,3.0
12873268,2051523,3.0
12473136,13155584,3.0
10810,38440,3.0
12341992,64165774,3.0
8934599,26956083,3.0
12789763,17045247,3.0
10009367,13004639,3.0
13056011,72289468,3.0
1523772,8130814,3.0
12533075,6073299,3.0
9576685,49569819,3.0
11841986,12243051,3.0
13078164,23099761,3.0
13015927,18202088,3.0
12854555,67253528,3.0
12897110,70633440,3.0
9614024,15730792,3.0
12590656,51449558,3.0
10327517,53144645,3.0
10119327,30283594,3.0
9464030,6902661,3.0
12088322,30283594,3.0
10119193,30283594,3.0
10671192,44392534,3.0
12425501,21184200,3.0
12382743,30283594,3.0
12346529,28929296,3.0
6306590,6878335,3.0
12409042,26956083,3.0
2021483,10197317,3.0
2871079,14674644,3.0
11701611,62197455,3.0
5989418,5809176,3.0
12517081,24950258,3.0
8535768,20646040,3.0
8164146,30283594,3.0
9058863,35423230,3.0
10053032,30283594,3.0
12288299,30283594,3.0
10132073,51992629,3.0
12405534,37220686,3.0
11863105,44013653,3.0
611081,3029783,3.0
